order_id_new,order_try_id_new,calc_created,metered_price,upfront_price,distance,duration,gps_confidence,entered_by,b_state,dest_change_number,prediction_price_type,predicted_distance,predicted_duration,change_reason_pricing,ticket_id_new,rider_app_version,order_state,order_try_state,driver_app_version,driver_device_uid_new,device_name,us_indicator,overpaid_ride_ticket,fraud_score
2366,2366,43885.36911,8.04,8.1,9977,1257,1,client,finished,1,upfront,9891,1282,,4157,CA.5.44,finished,finished,DA.4.39,1339,HUAWEI BLA-L29,1,0,-652
2803,2803,43890.07241,18.8,,17107,1552,1,client,finished,2,upfront_destination_changed,11054,962,client_destination_changed,4608,CI.4.17,finished,finished,DA.4.37,1695,LENOVO Lenovo TB-7304F,1,0,-100
3313,3313,43896.02017,31.23,,54757,6581,1,driver,finished,3,upfront_destination_changed,13878,1381,driver_destination_changed,342,CI.4.19,finished,finished,DA.4.39,1459,Samsung SM-G950F,1,0,-58
3299,3299,43895.78667,7.65,6.3,13355,1335,1,client,finished,1,upfront,11823,888,,282,CA.5.32,finished,finished,DI.3.37,214,"iPhone9,3",1,0,-44
3675,3675,43899.45205,8.53,,11456,1205,1,driver,finished,2,upfront_destination_changed,11482,1179,driver_destination_changed,700,CI.4.19,finished,finished,DA.4.42,629,Samsung SM-J610FN,1,0,-498
3638,3638,43898.87591,13643.28,,10365,1533,1,client,finished,1,prediction,9088,1175,,736,CI.4.19,finished,finished,DA.4.39,1968,TECNO MOBILE LIMITED TECNO CC7,0,0,
3797,3797,43900.6889,8.49,8.7,9276,1555,1,client,finished,1,upfront,8781,1733,,854,CA.5.46,finished,finished,DA.4.42,1889,Samsung SM-J730F,1,0,
3406,3406,43896.85057,4.6,4.5,5278,662,1,client,finished,1,upfront,5632,546,,397,CA.5.46,finished,finished,DA.4.42,1392,Samsung SM-A500FU,1,0,
73,73,43863.61553,15.67,,22396,2237,1,client,finished,2,upfront_destination_changed,9713,802,client_destination_changed,1436,CA.5.40,finished,finished,DA.4.37,2110,Samsung SM-G965F,1,0,-160
91,91,43863.7285,2.97,,1754,491,1,driver,finished,2,upfront_destination_changed,1460,244,driver_destination_changed,1475,CA.5.42,finished,finished,DA.4.37,1784,Samsung SM-G398FN,1,0,0
201,201,43864.90729,18929.92,6500,14560,1421,0,client,finished,1,upfront,3789,538,,1621,CA.4.99,finished,finished,DA.4.10,17,TECNO MOBILE LIMITED TECNO B1p,0,1,
1136,1136,43874.35134,8.83,8.9,13053,1058,1,client,finished,1,upfront,12982,1080,,2647,CI.4.17,finished,finished,DA.4.39,1605,HUAWEI POT-LX1,1,0,-240
986,986,43872.66197,7.29,5.3,6499,1541,1,client,finished,1,upfront,4714,1052,,2467,CA.5.43,finished,finished,DA.4.37,550,Samsung SM-A705FN,1,0,-3526
1477,1477,43876.82068,6000,10000,2478,372,1,client,finished,1,upfront,7381,934,,2998,CA.5.44,finished,finished,DA.4.37,267,TECNO CA6S,0,1,
1825,1825,43880.7955,12329.22,,8063,1950,1,client,finished,1,prediction,25317,3283,,3509,CI.4.17,finished,finished,DA.4.34,587,Samsung SM-T815Y,0,1,
1792,1792,43880.41965,4.39,3,3921,810,1,client,finished,1,upfront,2313,511,,3495,CI.4.04,finished,finished,DA.4.31,874,Samsung SM-J610FN,1,0,-814
1780,1780,43880.33653,4.36,3.6,4858,639,1,client,finished,1,upfront,2891,676,,3389,CA.4.47,finished,finished,DA.4.39,1106,HUAWEI LYA-L29,1,0,
1448,1448,43876.6038,13.75,6.3,18706,2087,1,client,finished,1,upfront,8233,848,,2988,CA.5.43,finished,finished,DA.4.39,1432,Samsung SM-T285,1,0,-6
1947,1947,43881.98325,2,10.4,24,29,1,client,finished,1,upfront,21179,1346,,3591,CA.5.44,finished,finished,DI.3.31,207,"iPhone9,3",1,0,-238
1964,1964,43882.27815,3.92,3.9,2412,613,1,client,finished,1,upfront,2403,590,,3694,CA.5.43,finished,finished,DA.4.39,1497,Samsung SM-J510FN,1,0,
2439,2439,43886.31955,14863.5,,9657,2547,0,client,finished,1,prediction,9657,1491,,4203,CA.5.44,finished,finished,DA.4.39,2009,INFINIX MOBILITY LIMITED Infinix X606C,0,0,
2076,2076,43882.92773,4.97,3.6,5710,738,1,client,finished,1,upfront,3809,503,,3726,CI.4.19,finished,finished,DI.3.33,73,"iPhone8,1",1,0,
2056,2056,43882.75773,7.37,4,7544,1403,0,client,finished,3,upfront,4385,574,,3700,CI.4.19,finished,finished,DA.4.37,1133,HUAWEI POT-LX1,1,0,-808
2762,2762,43889.79597,4.55,5.4,4453,783,1,client,finished,1,upfront,6261,808,,4559,CA.5.44,finished,finished,DA.4.37,1612,HUAWEI LYA-L29,1,0,
2990,2990,43891.79916,6773.46,,1179,2297,1,client,finished,1,prediction,5530,986,,4802,CI.4.17,finished,finished,DA.4.37,1375,INFINIX MOBILITY LIMITED Infinix X5515,0,0,
3521,3521,43897.82274,4.33,4.6,4552,677,1,client,finished,1,upfront,4400,795,,527,CA.5.43,finished,finished,DA.4.42,1511,Samsung SM-G975F,1,0,
3777,3777,43900.53302,3.31,3.7,4771,573,1,client,finished,1,upfront,5637,613,,919,CI.4.23,finished,finished,DA.4.42,2075,Xiaomi Redmi Note 7,1,0,-40
3546,3546,43897.97801,14.91,11.6,17902,1881,1,driver,finished,3,upfront,14143,1194,,677,CI.4.19,finished,finished,DA.4.42,631,HUAWEI ATU-L21,1,0,-274
4027,4027,43902.82936,17620.26,,12988,2416,1,client,finished,1,prediction,12157,1976,,1123,CA.5.46,finished,finished,DA.4.42,1002,TECNO MOBILE LIMITED TECNO KC8,0,0,
4115,4115,43903.6219,4.36,3.4,3901,799,1,client,finished,1,upfront,2777,604,,1189,CI.4.19,finished,finished,DA.4.42,372,Samsung SM-A505FN,1,0,-1258
556,556,43868.77083,6950.59,7000,2724,1293,1,client,finished,1,upfront,3634,804,,1992,CI.4.14,finished,finished,DA.4.37,668,TECNO K7,0,0,
2885,2885,43890.80444,13849.02,,12876,413,0,client,finished,1,prediction,8896,1297,,4774,CI.4.14,finished,finished,DA.4.37,654,TECNO MOBILE LIMITED TECNO KA7,0,0,
3199,3199,43894.72509,18352.5,,10747,3915,0,client,finished,1,prediction,10627,1864,,166,CA.5.27,finished,finished,DA.4.34,1125,TECNO MOBILE LIMITED TECNO KA7,0,0,
4001,4001,43902.65559,9.7,7.8,8858,2116,1,client,finished,1,upfront,7701,1524,,1083,CI.4.19,finished,finished,DA.4.42,522,Samsung SM-A520F,1,0,
3696,3696,43899.57414,6000,,0,5,1,client,finished,1,prediction,5535,961,,1172,CA.5.46,finished,finished,DA.4.42,1194,INFINIX MOBILITY LIMITED Infinix X650,0,0,
4022,4022,43902.79154,5.75,3.8,6932,847,1,client,finished,1,upfront,3140,684,,1106,CA.5.30,finished,finished,DA.4.42,1717,Samsung SM-A600FN,1,0,-439
2141,2141,43883.50313,20486.22,,11878,4524,0,client,finished,1,prediction,10108,1673,,3793,CA.5.44,finished,finished,DA.4.39,1820,Infinix X572,0,0,
251,251,43865.49159,6000,16000,743,345,1,client,finished,1,upfront,12008,1910,,1636,CA.4.66,finished,finished,DA.4.31,1438,TECNO L8 Lite,0,0,
463,463,43867.83796,5765,5000,9015,1206,1,client,finished,1,upfront,7875,1067,,2335,CA.5.42,finished,finished,DA.4.35,1517,Itel S12,0,0,
1153,1153,43874.53272,7.92,,7241,865,1,driver,finished,2,upfront_destination_changed,7282,817,driver_destination_changed,2673,CI.4.17,finished,finished,DA.4.39,1891,Samsung SM-A405FN,1,0,-10
1557,1557,43877.68767,2000,7000,400,134,1,client,finished,1,upfront,10793,1462,,3105,CA.4.89,finished,finished,DA.4.35,2084,Itel W5504,0,0,
1867,1867,43881.31029,55192.74,,38311,1819,0,client,finished,1,prediction,7955,1305,,3562,CA.5.44,finished,finished,DA.4.14,335,HMD Global Nokia 1,0,1,
1608,1609,43878.36483,4087.5,4500,4752,1755,1,client,finished,2,upfront,6791,1179,client_destination_changed,3171,CA.5.44,finished,finished,DA.4.37,2076,TECNO WX3,0,0,
88,88,43863.67689,6000,11500,28,159,1,client,finished,1,upfront,8781,1271,,1439,CA.5.40,finished,finished,DA.4.37,1008,TECNO-J8,0,0,
2620,2620,43888.52832,4.56,4,6851,874,0,client,finished,1,upfront,6206,700,,4409,CA.5.44,finished,finished,DI.3.36,156,"iPhone6,2",1,0,-50
2563,2563,43887.67682,2.5,6.8,104,73,1,client,finished,1,upfront,6780,1296,,4344,CA.5.45,finished,finished,DI.3.36,33,"iPhone9,3",1,0,
852,852,43871.27948,19741.98,16500,12422,3853,1,client,finished,1,upfront,12443,1998,,2300,CA.5.08,finished,finished,DA.4.39,1896,Samsung SM-N9100,0,0,
3614,3614,43898.61119,5.6,5.9,6512,857,1,client,finished,1,upfront,6734,955,,621,CI.4.19,finished,finished,DA.4.42,1077,Samsung SM-G960F,1,0,5
3603,3603,43898.53998,12562.02,,8695,1763,1,client,finished,1,prediction,8254,1276,,611,CA.5.01,finished,finished,DA.4.37,1634,TECNO CX Air,0,0,
3783,3783,43900.59763,9690.24,,5683,1679,0,client,finished,1,prediction,5683,1020,,843,CA.5.46,finished,finished,DA.4.42,906,Samsung SM-J415F,0,1,
3525,3525,43897.85168,11005.5,,8051,1233,1,client,finished,1,prediction,10147,1339,,591,CA.5.32,finished,finished,DA.4.39,905,Samsung SM-J250F,0,0,
4072,4072,43903.43027,16566.48,,10447,3088,0,client,finished,1,prediction,10447,2075,,1262,CA.5.47,finished,finished,DA.4.42,847,INFINIX MOBILITY LIMITED Infinix X650,0,0,
2415,2415,43885.76933,6000,,115,457,1,client,finished,1,prediction,3870,788,,4232,CA.5.44,finished,finished,DA.4.39,571,Samsung SM-G900H,0,0,
2765,2765,43889.83679,7041.78,,2873,1614,0,client,finished,1,prediction,6359,924,,4677,CI.4.19,finished,finished,DA.4.39,1665,OPPO A37fw,0,0,
217,217,43865.33831,,,6249,2477,1,driver,finished,1,,,,,1642,,finished,finished,DA.4.37,977,Xiaomi Redmi 8,1,0,
40,40,43863.34781,2000,6000,809,135,1,client,finished,1,upfront,8776,1556,,1385,CA.5.42,finished,finished,DA.4.35,873,Itel S12,0,0,
128,128,43864.26537,17.03,16.2,24295,2463,1,client,finished,1,upfront,22971,2364,,1516,CI.4.17,finished,finished,DA.4.37,1540,HUAWEI FIG-LX1,1,0,-892
536,537,43868.63383,11323.02,8500,8573,1168,0,client,finished,1,upfront,5398,1049,,1963,CA.5.27,finished,finished,DA.4.10,253,TECNO MOBILE LIMITED TECNO B1,0,1,
541,541,43868.65713,7.78,10.5,9689,1205,1,client,finished,1,upfront,10123,1405,,1970,CI.4.17,finished,finished,DA.4.39,1428,HUAWEI ATU-L21,1,0,-532
682,682,43869.65275,6000,6000,1748,514,1,client,finished,1,upfront,2545,467,,2103,CI.4.14,finished,finished,DA.4.39,1678,Samsung SM-N915T,0,0,
559,559,43868.76896,4.45,4.8,4665,708,1,client,finished,1,upfront,4666,829,,1984,CI.4.17,finished,finished,DA.4.37,1663,HUAWEI BGO-DL09,1,0,-1178
1257,1257,43875.58854,7.63,6.2,9435,1183,1,client,finished,1,upfront,7691,920,,2783,CI.4.17,finished,finished,DA.4.37,518,Samsung SM-G935F,1,0,-208
1832,1832,43880.73668,4.16,3.2,5271,489,1,client,finished,1,upfront,3214,459,,3438,CA.5.43,finished,finished,DA.4.39,19,Samsung SM-A730F,1,0,-372
1751,1751,43879.85308,37893.04,,26977,2117,0,client,finished,1,prediction,10020,1465,,3373,CA.5.44,finished,finished,DA.4.34,1689,Itel itel P12,0,1,
948,948,43872.26345,5.21,5.5,6423,718,1,client,finished,1,upfront,6969,757,,2422,CI.4.18,finished,finished,DA.4.39,731,HUAWEI AMN-LX9,1,0,
2304,2304,43884.57777,36964.76,,25970,2407,0,client,finished,1,prediction,10255,1471,,3966,CA.5.37,finished,finished,DA.4.12,18,Samsung SM-G6100,0,1,
2200,2200,43883.7981,10.82,11.8,14027,1694,1,client,finished,1,upfront,14921,1934,,3941,CI.4.19,finished,finished,DA.4.39,736,HUAWEI KOB-L09,1,0,-386
2431,2431,43886.17902,20046,,13968,3258,1,client,finished,1,prediction,8437,1106,,4188,CA.5.44,finished,finished,DI.3.36,196,"iPhone8,1",0,0,
2632,2632,43888.6517,12.6,10.2,19864,1430,1,client,finished,1,upfront,15611,1185,,4446,CA.5.44,finished,finished,DA.4.39,1417,HMD Global TA-1032,1,0,-46
3946,3946,43902.02821,8.26,8.3,15860,1175,1,client,finished,1,upfront,15667,1222,,1030,CI.4.19,finished,finished,DI.3.34,192,"iPhone8,2",1,0,-231
3193,3193,43894.60531,2.22,3,2446,413,1,client,finished,1,upfront,3223,696,,150,CI.4.19,finished,finished,DA.4.34,1748,BullittGroupLimited S31,1,0,-5540
3697,3697,43899.59015,6000,,1374,1578,0,client,finished,1,prediction,1374,276,,729,CA.5.27,finished,finished,DA.4.42,1162,TECNO MOBILE LIMITED TECNO KC6,0,0,
3729,3729,43899.78956,2.75,2.8,2338,205,1,client,finished,1,upfront,2359,308,,762,CI.4.01,finished,finished,DI.3.37,162,"iPhone8,1",1,0,-144
670,670,43869.57715,3.63,4,3837,512,1,client,finished,1,upfront,4282,577,,2139,CI.4.17,finished,finished,DA.4.39,1585,Samsung SM-A530F,1,0,-514
65,65,43863.58986,7652.52,6500,5058,872,1,client,finished,1,upfront,3958,703,,1421,CA.5.42,finished,finished,DA.4.37,1851,Infinix X603,0,0,
600,600,43868.99292,7.13,7.6,8502,1141,1,client,finished,1,upfront,9907,1108,,2045,CI.4.17,finished,finished,DA.4.39,810,Samsung SM-G950F,1,0,
839,839,43870.93323,16518.54,15000,13744,1447,1,client,finished,1,upfront,12112,1506,,2274,CA.5.43,finished,finished,DA.4.34,1991,HUAWEI DRA-LX2,0,0,
864,864,43871.35265,17239.02,7500,7151,5075,1,client,finished,1,upfront,5077,787,,2317,CI.4.17,finished,finished,DA.4.31,52,TECNO Camon CX,0,0,-46
980,980,43872.6317,6000,26500,0,0,0,client,finished,1,upfront,18253,2852,,2463,CA.5.43,finished,finished,DA.4.31,774,TECNO MOBILE LIMITED TECNO B1p,0,0,
558,558,43868.77117,6111.01,6500,3197,641,1,client,finished,1,upfront,3301,666,,2476,CA.5.42,finished,finished,DA.4.30,1083,TECNO MOBILE LIMITED TECNO LA7,0,0,
1196,1196,43874.85277,5.52,6.3,9531,881,1,client,finished,1,upfront,10800,1069,,2815,CA.5.44,finished,finished,DA.4.39,1238,Samsung SM-G970F,1,0,-19
551,551,43868.71976,7.88,8,10293,611,1,client,finished,1,upfront,10473,626,,2011,CI.4.17,finished,finished,DI.3.33,129,"iPhone9,4",1,0,-21
1456,1456,43876.63987,6.98,6.8,8402,1098,1,client,finished,1,upfront,8282,1022,,2999,CA.5.44,finished,finished,DA.4.37,1936,Asus ASUS_A002,1,0,-16
1716,1715,43879.54669,2.54,3.3,2193,352,1,client,finished,1,upfront,3586,406,,3304,CA.5.44,finished,finished,DA.4.39,427,Samsung SM-G532F,1,0,-246
974,974,43872.49078,4.16,4.2,3882,721,1,client,finished,1,upfront,3843,740,,2445,CI.4.17,finished,finished,DI.3.34,36,"iPhone8,1",1,0,
2351,2351,43885.05179,6.51,6.6,8841,832,1,client,finished,1,upfront,9030,851,,4066,CA.5.27,finished,finished,DA.4.41,1430,Samsung GT-I9505,1,0,-1820
2463,2463,43886.53361,6000,,0,2,1,client,finished,1,prediction,5834,1184,,4206,CI.4.19,finished,finished,DA.4.41,1816,INFINIX MOBILITY LIMITED Infinix X624B,0,0,
2009,2009,43882.53841,5.23,3.2,4525,1043,1,client,finished,1,upfront,2861,496,,3653,CA.5.44,finished,finished,DA.4.39,2119,Samsung SM-J510FN,1,0,-152
2327,2327,43884.73302,15233.22,,10700,2238,0,client,finished,1,prediction,10700,1601,,3988,CI.4.14,finished,finished,DA.4.39,618,TECNO K7,0,0,
2126,2126,43883.35028,15125.22,,9806,2616,0,client,finished,1,prediction,9333,1233,,4216,CA.5.42,finished,finished,DA.4.39,2064,Foxconn TG-L800S,0,0,
195,195,43864.83772,7800,8000,566,401,1,client,finished,1,upfront,577,113,,1703,CA.4.75,finished,finished,DA.4.37,950,Samsung SM-G925I,0,0,
44,44,43863.44796,30617.5,23000,19448,4635,1,client,finished,1,upfront,17267,2343,,1413,CA.5.42,finished,finished,DA.4.30,1476,Samsung SM-G935U,0,0,
172,172,43864.66771,4.27,3.2,3498,675,1,client,finished,1,upfront,2115,496,,1551,CI.4.17,finished,finished,DA.4.37,1610,Samsung SM-N975F,1,0,-22
225,225,43865.39311,9788.4,5000,15396,2206,1,client,finished,1,upfront,7813,1288,,1602,CA.5.42,finished,finished,DA.4.37,1862,TECNO F3,0,1,
105,105,43863.83277,4.52,4.5,7145,786,1,client,finished,1,upfront,6984,826,,1672,CA.5.42,finished,finished,DA.4.37,1418,HUAWEI ATU-L21,1,0,
251,251,43865.49159,6000,16000,743,345,1,client,finished,1,upfront,12008,1910,,1696,CA.4.66,finished,finished,DA.4.31,1438,TECNO L8 Lite,0,0,
315,315,43866.28057,4.01,4.5,3396,744,1,client,finished,1,upfront,4615,715,,1711,CI.4.17,finished,finished,DA.4.34,1123,Samsung SM-J730F,1,0,1
816,816,43870.735,10485,10500,7271,1332,1,client,finished,1,upfront,7260,1254,,2257,CI.4.17,finished,finished,DA.4.39,1971,INFINIX MOBILITY LIMITED Infinix X5516B,0,0,
591,591,43868.92356,6.52,6.5,8656,866,1,client,finished,1,upfront,8506,866,,2272,CA.5.43,finished,finished,DA.4.39,1952,Xiaomi Redmi Note 7,1,0,-1200
991,991,43872.70811,10219.98,6000,5804,1909,1,client,finished,1,upfront,3376,633,,2472,CA.5.42,finished,finished,DA.4.39,639,INFINIX MOBILITY LIMITED Infinix X608,0,0,
1047,1047,43873.30124,3.13,3.7,2698,506,1,client,finished,1,upfront,3262,630,,2523,CA.5.43,finished,finished,DA.4.39,555,Samsung SM-J415FN,1,0,-2599
1069,1069,43873.50455,9687.83,8500,6000,1269,1,client,finished,1,upfront,5425,837,,2565,CA.5.30,finished,finished,DA.4.39,1145,TECNO MOBILE LIMITED TECNO F3,0,0,
1151,1151,43874.51675,4.77,4.7,3998,950,1,client,finished,1,upfront,4613,836,,2670,CA.5.43,finished,finished,DA.4.39,1425,Samsung SM-N960F,1,0,32
1530,1530,43877.26541,6.25,4.9,8464,791,1,client,finished,1,upfront,5127,805,,3164,CI.4.17,finished,finished,DA.4.39,1173,Samsung SM-J330F,1,0,-78
1262,1262,43875.77787,59316.78,19500,24055,16266,0,client,finished,1,upfront,14707,2605,,2831,CA.4.99,finished,finished,DA.4.39,1962,Samsung SM-G570F,0,0,
1774,1774,43880.28087,6.53,5,4371,1594,1,client,finished,1,upfront,4807,916,,3380,CI.4.18,finished,finished,DA.4.31,1379,Samsung SM-A310F,1,0,-738
2153,2153,43883.51773,6000,,987,319,1,client,finished,1,prediction,3594,747,,3795,CA.5.44,finished,finished,DA.4.34,1038,INFINIX MOBILITY LIMITED Infinix X650B,0,0,
2503,2503,43886.8514,10634.28,,6551,1767,0,client,finished,1,prediction,8379,1098,,4353,CA.5.32,finished,finished,DA.4.41,1700,Itel itel A12,0,0,
2580,2580,43887.90299,6000,,3469,643,1,client,finished,1,prediction,3279,428,,4367,CI.4.19,finished,finished,DA.4.41,1001,HUAWEI LLD-L31,0,0,
137,137,43864.34483,4.26,3.5,4911,590,1,client,finished,1,upfront,3668,508,,1545,CA.5.42,finished,finished,DA.4.37,2015,HUAWEI ATU-L21,1,0,-330
106,106,43863.85138,5.88,5.2,6126,1035,1,client,finished,1,upfront,6032,785,,1565,CI.4.17,finished,finished,DA.4.37,1499,Samsung SM-A805F,1,0,21
550,550,43868.70722,3.75,4.2,1838,372,1,client,finished,1,upfront,2040,482,,2052,CI.4.17,finished,finished,DA.4.31,1404,Samsung SM-J500FN,1,0,-16
1058,1058,43873.37251,6000,6000,2362,337,1,client,finished,1,upfront,3551,585,,2537,CA.5.43,finished,finished,DA.4.39,1576,TECNO MOBILE LIMITED TECNO BA2,0,1,
773,773,43870.44328,10247.29,10500,2526,3021,1,client,finished,1,upfront,7079,996,,2193,CA.5.43,finished,finished,DA.4.34,988,TECNO F3,0,0,
1190,1190,43874.80978,3.25,2.6,3070,493,1,client,finished,1,upfront,2203,391,,2715,CI.4.17,finished,finished,DA.4.39,1945,Samsung SM-G975F,1,0,-2050
1333,1333,43875.89808,20258.93,15500,8505,1195,1,client,finished,1,upfront,6063,873,,2843,CI.4.17,finished,finished,DA.4.34,1907,TECNO MOBILE LIMITED TECNO KA7O,0,1,
1079,1079,43873.64931,6.45,5.5,4985,1459,1,client,finished,1,upfront,4876,1087,,2589,CA.5.43,finished,finished,DA.4.39,767,Xiaomi Redmi Note 7,1,0,-396
1529,1529,43877.32859,51573.74,14000,29835,6998,0,client,finished,1,upfront,10462,1642,,3165,CI.4.18,finished,finished,DA.4.34,1316,Infinix HOT 4 Lite,0,0,
1271,1271,43875.63649,5.73,4.9,1841,605,1,client,finished,1,upfront,1796,426,,2834,CI.4.17,finished,finished,DA.4.39,401,LENOVO Lenovo TB3-850M,1,0,-170
1801,1801,43880.55465,35071.22,,23663,3390,1,client,finished,1,prediction,23815,2711,,3410,CA.5.44,finished,finished,DA.4.37,1986,HUAWEI TRT-L21A,0,0,-1360
2534,2534,43887.39733,18.66,16,24728,3050,1,driver,finished,4,upfront,24794,1961,,4306,CI.4.19,finished,finished,DA.4.39,669,Samsung SM-G975F,1,0,-128
2751,2751,43889.76564,4.22,3.5,3287,691,1,client,finished,1,upfront,2703,517,,4554,CA.5.45,finished,finished,DA.4.42,1399,Sony G3311,1,0,-2
2892,2892,43890.86185,21918.54,,13135,4687,0,client,finished,1,prediction,11712,1922,,4694,CI.4.19,finished,finished,DA.4.39,1187,Alps NODROPOUT T25,0,0,
3219,3219,43894.9575,9.62,9.9,10893,1093,1,client,finished,1,upfront,11649,1064,,198,CI.4.19,finished,finished,DA.4.42,658,Samsung SM-G930F,1,0,-10
3326,3326,43896.26997,2478.4,,3360,658,0,client,finished,1,prediction,6276,1096,,305,CI.4.21,finished,finished,DA.4.42,1953,Itel S12,0,0,
3425,3425,43896.95818,14.45,11.6,13161,1352,1,client,finished,3,upfront,10569,1007,,446,CI.4.19,finished,finished,DA.4.42,1274,HUAWEI SNE-LX1,1,0,-124
3329,3329,43896.31904,6.48,4.9,9016,793,1,client,finished,1,upfront,6564,564,,388,CI.4.19,finished,finished,DA.4.42,2070,Samsung SM-J415FN,1,0,-121
3635,3635,43898.83865,6000,,1028,147,1,client,finished,1,prediction,2548,485,,650,CA.5.44,finished,finished,DA.4.39,1963,HMD Global TA-1032,0,1,
3080,3080,43892.8972,17171.52,,13395,1970,1,client,finished,1,prediction,12179,1632,,4940,CI.4.19,finished,finished,DI.3.35,134,"iPhone7,2",0,0,
3704,3704,43899.61764,2000,,1284,213,1,client,finished,1,prediction,11,3,,735,CA.5.42,finished,finished,DA.4.42,2092,HMD Global Nokia 2.2,0,0,-1102
3923,3923,43901.80884,32051.78,,24534,984,0,client,finished,1,prediction,10314,1760,,986,CA.5.43,finished,finished,DA.4.42,1397,Samsung SM-J700H,0,0,
3524,3524,43897.85021,24251.26,,19871,796,0,client,finished,1,prediction,7464,1151,,1015,CI.4.19,finished,finished,DA.4.39,826,Samsung GT-I9505,0,0,
3322,3322,43896.29881,62374.04,,35995,7522,0,client,finished,1,prediction,35995,2525,,316,CA.5.45,finished,finished,DA.4.42,1770,TECNO MOBILE LIMITED TECNO KA7,0,0,
342,342,43866.52247,14998.26,13000,11247,1840,1,client,finished,1,upfront,9376,1685,,1741,CI.4.14,finished,finished,DA.4.37,2057,TECNO Camon CX,0,0,
354,354,43866.60605,6000,6000,224,192,0,client,finished,1,upfront,2782,510,,1760,CI.4.13,finished,finished,DA.4.37,859,Samsung SM-G928F,0,0,
545,545,43868.67892,7.64,8.6,8464,1354,1,client,finished,1,upfront,10705,1368,,1989,CA.5.42,finished,finished,DA.4.37,869,HUAWEI STK-LX1,1,0,-404
917,917,43871.70231,5.17,4.2,5135,569,1,client,finished,1,upfront,3484,534,,2375,CA.5.43,finished,finished,DA.4.37,783,HUAWEI CLT-L29,1,0,
921,921,43871.84873,48100.51,30000,27366,4874,1,client,finished,1,upfront,19131,2976,,2515,CI.4.17,finished,finished,DI.3.34,28,"iPhone7,2",0,0,
1051,1051,43873.32532,2.5,4.4,1622,410,1,client,finished,1,upfront,3497,895,,2529,CI.4.18,finished,finished,DA.4.39,1268,HUAWEI VNS-L21,1,0,-4040
1227,1227,43875.26708,2,2.1,41,31,1,client,finished,1,upfront,2504,350,,2764,CI.4.17,finished,finished,DA.4.34,501,HUAWEI ATU-L21,1,0,-33
1413,1413,43876.18742,2.5,2.7,2254,293,1,client,finished,1,upfront,2102,421,,2887,CA.5.43,finished,finished,DA.4.39,729,HUAWEI VNS-L21,1,0,-285
1491,1491,43876.92008,5.9,4.5,4542,631,1,client,finished,1,upfront,3472,419,,3077,CA.5.43,finished,finished,DA.4.39,1926,Samsung SM-A605FN,1,0,-688
1762,1762,43880.13498,26279.76,,19891,1889,0,client,finished,1,prediction,10048,1155,,3366,CA.5.43,finished,finished,DI.3.28,167,"iPhone8,1",0,1,
1249,1249,43875.63242,41675.82,10000,21272,8012,0,client,finished,1,upfront,6694,1059,,3183,CI.4.17,finished,finished,DA.4.39,612,Xiaomi Mi A3,0,0,
2350,2350,43885.02186,7733.46,,5402,749,1,client,finished,1,prediction,8515,1065,,4025,CA.5.23,finished,finished,DA.4.34,689,TECNO MOBILE LIMITED TECNO LC6a,0,0,
